-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90.001,-90.001,-90.001,-90.001,-90.001,-90.001,-90.001,-90.001,-90.001,-90.001,-90.001,-90.002,-90.002,-90.002,-90.002,-90.002,-90.002,-90.002,-90.002,-90.002,-90.003,-90.003,-90.003,-90.003,-90.003,-90.003,-90.003,-90.003,-90.004,-90.004,-90.004,-90.004,-90.004,-90.004,-90.004,-90.004,-90.005,-90.005,-90.005,-90.005,-90.005,-90.005,-90.005,-90.005,-90.006,-90.006,-90.006,-90.006,-90.006,-90.006,-90.006,-90.006,-90.007,-90.007,-90.007,-90.007,-90.007,-90.007,-90.007,-90.007,-90.008,-90.008,-90.008,-90.008,-90.008,-90.008,-90.008,-90.008,-90.009,-90.009,-90.009,-90.009,-90.009,-90.009,-90.009,-90.009,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.012,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.011,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.01,-90.009,-90.009,-90.009,-90.009,-90.009,-90.009,-90.008,-90.008,-90.008,-90.008,-90.008,-90.007,-90.007,-90.007,-90.007,-90.006,-90.006,-90.006,-90.006,-90.005,-90.005,-90.005,-90.005,-90.004,-90.004,-90.004,-90.003,-90.003,-90.003,-90.002,-90.002,-90.002,-90.001,-90.001,-90.001,-90,-90,-90,-89.999,-89.999,-89.999,-89.998,-89.998,-89.998,-89.998,-89.999,-89.999,-90,-90.001,-90.002,-90.003,-90.004,-90.005,-90.005,-90.005,-90.005,-90.004,-90.003,-90.001,-89.998,-89.994,-89.99,-89.987,-89.983,-89.981,-89.98,-89.981,-89.984,-89.989,-89.997,-90.008,-90.021,-90.035,-90.049,-90.06,-90.069,-90.073,-90.071,-90.062,-90.044,-90.016,-89.977,-89.928,-89.876,-89.824,-89.779,-89.745,-89.728,-89.732,-89.763,-89.826,-89.926,-90.068,-90.246,-90.442,-90.635,-90.807,-90.939,-91.012,-91.006,-90.902,-90.681,-90.323,-89.811,-89.159,-88.434,-87.708,-87.053,-86.54,-86.241,-86.227,-86.571,-87.344,-88.617,-90.463,-92.85,-95.538,-98.26,-100.75,-102.74,-103.95,-104.14,-103.01,-100.32,-95.788,-89.15,-80.247,-69.235,-56.324,-41.725,-25.65,-8.3088,10.087,29.327,49.2,69.494,90
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
46.955,46.202,45.448,44.694,43.939,43.184,42.429,41.672,40.915,40.156,39.396,38.635,37.872,37.108,36.342,35.574,34.805,34.033,33.258,32.481,31.702,30.92,30.135,29.347,28.557,27.762,26.965,26.164,25.359,24.551,23.738,22.922,22.101,21.276,20.447,19.613,18.774,17.931,17.082,16.229,15.37,14.506,13.636,12.76,11.879,10.992,10.099,9.1991,8.2933,7.381,6.4621,5.5366,4.6052,3.6686,2.7276,1.7831,0.83582,-0.11344,-1.0639,-2.0147,-2.9651,-3.9144,-4.8616,-5.806,-6.7469,-7.6834,-8.6146,-9.54,-10.459,-11.37,-12.272,-13.166,-14.049,-14.922,-15.783,-16.632,-17.468,-18.29,-19.097,-19.889,-20.664,-21.423,-22.163,-22.885,-23.587,-24.269,-24.93,-25.569,-26.186,-26.779,-27.347,-27.891,-28.409,-28.9,-29.364,-29.8,-30.206,-30.583,-30.929,-31.244,-31.527,-31.776,-31.994,-32.179,-32.333,-32.455,-32.547,-32.609,-32.641,-32.643,-32.617,-32.563,-32.48,-32.371,-32.234,-32.071,-31.882,-31.667,-31.427,-31.163,-30.874,-30.562,-30.226,-29.868,-29.487,-29.084,-28.661,-28.216,-27.751,-27.265,-26.761,-26.237,-25.694,-25.134,-24.556,-23.96,-23.348,-22.72,-22.076,-21.416,-20.742,-20.053,-19.35,-18.634,-17.905,-17.163,-16.409,-15.644,-14.867,-14.08,-13.282,-12.475,-11.658,-10.832,-9.9984,-9.1566,-8.3073,-7.451,-6.5883,-5.7194,-4.845,-3.9655,-3.0812,-2.1928,-1.3007,-0.40526,0.49296,1.3935,2.296,3.1998,4.1046,5.0099,5.9152,6.8201,7.724,8.6266,9.5273,10.426,11.321,12.214,13.103,13.987,14.867,15.742,16.611,17.475,18.332,19.181,20.024,20.859,21.685,22.502,23.31,24.109,24.897,25.675,26.441,27.196,27.939,28.669,29.387,30.091,30.781,31.459,32.123,32.774,33.412,34.037,34.649,35.249,35.836,36.41,36.971,37.521,38.057,38.582,39.094,39.594,40.083,40.559,41.023,41.476,41.917,42.346,42.764,43.17,43.565,43.949,44.322,44.683,45.033,45.373,45.701,46.019,46.326,46.623,46.909,47.184,47.449,47.704,47.949,48.184,48.408,48.623,48.827,49.022,49.208,49.383,49.55,49.706,49.854,49.992,50.121,50.24,50.351,50.453,50.546,50.63,50.705,50.772,50.831,50.88,50.922,50.955,50.98,50.997,51.006,51.007,51,50.986,50.963,50.933,50.896,50.851,50.798,50.739,50.672,50.598,50.517,50.43,50.335,50.233,50.125,50.01,49.889,49.761,49.627,49.487,49.34,49.188,49.029,48.864,48.694,48.517,48.335,48.148,47.955,47.756,47.552,47.343,47.129,46.909,46.685,46.455,46.221,45.982,45.738,45.49,45.237,44.979,44.717,44.451,44.181,43.907,43.629,43.346,43.06,42.77,42.477,42.179,41.879,41.575,41.267,40.956,40.642,40.325,40.005,39.682,39.356,39.027,38.696,38.362,38.025,37.686,37.345,37.001,36.656,36.308,35.958,35.606,35.252,34.897,34.539,34.181,33.82,33.458,33.095,32.731,32.365,31.998,31.631,31.262,30.893,30.522,30.151,29.78,29.407,29.035,28.662,28.289,27.915,27.542,27.168,26.795,26.421,26.048,25.676,25.303,24.931,24.56,24.189,23.819,23.45,23.082,22.714,22.348,21.983,21.619,21.256,20.895,20.535,20.177,19.821,19.466,19.113,18.762,18.413,18.066,17.721,17.378,17.038,16.7,16.364,16.031,15.701,15.373,15.048,14.726,14.408,14.092,13.779,13.47,13.165,12.865,12.571,12.285,12.008,11.739,11.482,11.236,11.002,10.782,10.577,10.386,10.21,10.048,9.9011,9.7686,9.6504,9.5467,9.4572,9.382,9.321,9.274,9.2408,9.2206,9.213,9.2173,9.233,9.2596,9.2964,9.3429,9.3986,9.4628,9.5349,9.6143,9.7002,9.7917,9.888,9.9884,10.092,10.198,10.305,10.414,10.522,10.629,10.736,10.84,10.943,11.044,11.142,11.238,11.331,11.421,11.507,11.59,11.67,11.745,11.817,11.885,11.949,12.009,12.065,12.117,12.165,12.21,12.251,12.288,12.321,12.35,12.375,12.397,12.415,12.429,12.44,12.447,12.451,12.45,12.447,12.439,12.427,12.41,12.387,12.358,12.321,12.276,12.222,12.159,12.085,12.001,11.905,11.798,11.682,11.558,11.426,11.288,11.145,10.998,10.847,10.694,10.541
86.56,87.076,87.592,88.108,88.625,89.141,89.658,90.176,90.693,91.211,91.73,92.249,92.769,93.29,93.811,94.333,94.856,95.38,95.904,96.43,96.957,97.485,98.014,98.544,99.076,99.609,100.14,100.68,101.22,101.76,102.3,102.84,103.38,103.93,104.48,105.02,105.58,106.13,106.69,107.24,107.8,108.37,108.93,109.5,110.07,110.64,111.21,111.79,112.37,112.95,113.54,114.12,114.71,115.3,115.89,116.48,117.07,117.65,118.24,118.81,119.38,119.95,120.5,121.05,121.59,122.12,122.63,123.14,123.63,124.11,124.57,125.02,125.45,125.86,126.25,126.63,126.98,127.31,127.62,127.9,128.16,128.4,128.61,128.79,128.94,129.07,129.16,129.22,129.26,129.25,129.22,129.15,129.04,128.9,128.72,128.5,128.24,127.95,127.61,127.23,126.8,126.33,125.82,125.26,124.67,124.03,123.35,122.63,121.87,121.07,120.24,119.37,118.46,117.51,116.53,115.52,114.47,113.39,112.28,111.13,109.96,108.75,107.52,106.25,104.96,103.64,102.29,100.92,99.518,98.094,96.646,95.175,93.682,92.166,90.629,89.072,87.494,85.898,84.283,82.65,81,79.333,77.651,75.954,74.242,72.517,70.779,69.028,67.266,65.493,63.71,61.917,60.115,58.306,56.489,54.665,52.835,51,49.16,47.316,45.469,43.619,41.768,39.915,38.061,36.208,34.356,32.505,30.657,28.812,26.97,25.132,23.3,21.473,19.653,17.84,16.035,14.238,12.45,10.672,8.9053,7.1494,5.4054,3.6741,1.9562,0.25232,-1.4368,-3.1106,-4.7682,-6.409,-8.0323,-9.6374,-11.224,-12.79,-14.337,-15.862,-17.366,-18.847,-20.305,-21.74,-23.15,-24.535,-25.896,-27.231,-28.542,-29.828,-31.09,-32.328,-33.542,-34.732,-35.899,-37.042,-38.162,-39.258,-40.332,-41.383,-42.411,-43.416,-44.4,-45.361,-46.3,-47.217,-48.113,-48.987,-49.84,-50.672,-51.483,-52.273,-53.042,-53.791,-54.519,-55.227,-55.915,-56.584,-57.232,-57.862,-58.471,-59.062,-59.634,-60.186,-60.72,-61.236,-61.733,-62.212,-62.673,-63.116,-63.542,-63.949,-64.34,-64.713,-65.069,-65.409,-65.731,-66.038,-66.327,-66.601,-66.858,-67.1,-67.326,-67.536,-67.731,-67.91,-68.075,-68.225,-68.36,-68.48,-68.586,-68.678,-68.756,-68.819,-68.869,-68.906,-68.929,-68.939,-68.936,-68.919,-68.89,-68.849,-68.795,-68.729,-68.65,-68.56,-68.458,-68.345,-68.22,-68.083,-67.936,-67.778,-67.609,-67.429,-67.239,-67.038,-66.828,-66.607,-66.377,-66.137,-65.888,-65.629,-65.361,-65.084,-64.799,-64.505,-64.202,-63.891,-63.572,-63.245,-62.91,-62.568,-62.218,-61.861,-61.496,-61.125,-60.747,-60.362,-59.971,-59.573,-59.169,-58.759,-58.344,-57.922,-57.496,-57.064,-56.626,-56.184,-55.737,-55.285,-54.829,-54.368,-53.903,-53.435,-52.962,-52.486,-52.006,-51.522,-51.036,-50.547,-50.054,-49.559,-49.062,-48.562,-48.06,-47.556,-47.05,-46.542,-46.033,-45.523,-45.011,-44.498,-43.984,-43.47,-42.955,-42.44,-41.924,-41.408,-40.893,-40.378,-39.863,-39.349,-38.835,-38.323,-37.812,-37.301,-36.793,-36.286,-35.78,-35.277,-34.776,-34.277,-33.78,-33.286,-32.795,-32.306,-31.821,-31.339,-30.86,-30.385,-29.914,-29.447,-28.983,-28.524,-28.07,-27.619,-27.174,-26.733,-26.298,-25.868,-25.443,-25.024,-24.61,-24.202,-23.801,-23.405,-23.016,-22.634,-22.258,-21.889,-21.527,-21.173,-20.825,-20.486,-20.154,-19.83,-19.515,-19.213,-18.924,-18.651,-18.395,-18.159,-17.943,-17.751,-17.584,-17.445,-17.333,-17.252,-17.199,-17.177,-17.184,-17.221,-17.289,-17.387,-17.516,-17.675,-17.866,-18.087,-18.339,-18.621,-18.931,-19.269,-19.634,-20.025,-20.441,-20.881,-21.343,-21.828,-22.335,-22.861,-23.405,-23.965,-24.54,-25.129,-25.728,-26.338,-26.955,-27.579,-28.207,-28.838,-29.471,-30.105,-30.74,-31.374,-32.006,-32.637,-33.265,-33.89,-34.511,-35.126,-35.737,-36.341,-36.938,-37.53,-38.114,-38.692,-39.263,-39.827,-40.384,-40.933,-41.474,-42.007,-42.533,-43.051,-43.56,-44.062,-44.556,-45.042,-45.52,-45.989,-46.451,-46.905,-47.351,-47.788,-48.216,-48.632,-49.036,-49.425,-49.799,-50.156,-50.494,-50.812,-51.108,-51.381,-51.631,-51.859,-52.067,-52.258,-52.433,-52.595,-52.747,-52.889,-53.025,-53.157,-53.286
46.461,45.798,45.134,44.47,43.807,43.144,42.481,41.819,41.158,40.497,39.837,39.178,38.519,37.862,37.206,36.551,35.897,35.245,34.593,33.944,33.296,32.65,32.005,31.363,30.722,30.083,29.447,28.812,28.18,27.55,26.923,26.298,25.675,25.056,24.439,23.825,23.214,22.606,22.001,21.399,20.8,20.205,19.613,19.025,18.441,17.86,17.282,16.709,16.14,15.574,15.013,14.456,13.903,13.355,12.811,12.272,11.737,11.208,10.683,10.164,9.6498,9.1411,8.6378,8.1402,7.6483,7.1622,6.6821,6.208,5.7402,5.2786,4.8235,4.375,3.9331,3.498,3.0698,2.6486,2.2346,1.8278,1.4284,1.0365,0.65225,0.2757,-0.092997,-0.45373,-0.80637,-1.1508,-1.4869,-1.8146,-2.1337,-2.4441,-2.7458,-3.0385,-3.3222,-3.5967,-3.862,-4.1178,-4.3642,-4.601,-4.828,-5.0451,-5.2523,-5.4494,-5.6366,-5.8141,-5.982,-6.1406,-6.2901,-6.4306,-6.5622,-6.6853,-6.8,-6.9065,-7.0049,-7.0955,-7.1784,-7.2539,-7.322,-7.3831,-7.4373,-7.4847,-7.5257,-7.5602,-7.5886,-7.6111,-7.6277,-7.6388,-7.6445,-7.6449,-7.6403,-7.6309,-7.6168,-7.5982,-7.5754,-7.5485,-7.5176,-7.4831,-7.445,-7.4035,-7.3589,-7.3114,-7.261,-7.2081,-7.1528,-7.0952,-7.0357,-6.9742,-6.9112,-6.8466,-6.7808,-6.7139,-6.646,-6.5775,-6.5084,-6.439,-6.3695,-6.3,-6.2307,-6.1618,-6.0935,-6.0259,-5.9594,-5.894,-5.83,-5.7675,-5.7067,-5.6478,-5.5911,-5.5366,-5.4846,-5.4352,-5.3887,-5.3453,-5.305,-5.2682,-5.235,-5.2055,-5.1801,-5.1587,-5.1418,-5.1294,-5.1217,-5.1189,-5.1212,-5.1288,-5.1419,-5.1606,-5.1852,-5.2158,-5.2527,-5.2959,-5.3458,-5.4025,-5.4661,-5.5369,-5.615,-5.7007,-5.7941,-5.8955,-6.0049,-6.1226,-6.2488,-6.3836,-6.527,-6.6789,-6.8391,-7.0077,-7.1844,-7.3693,-7.5622,-7.763,-7.9717,-8.1881,-8.4122,-8.6439,-8.883,-9.1295,-9.3833,-9.6443,-9.9124,-10.187,-10.47,-10.758,-11.054,-11.356,-11.665,-11.98,-12.302,-12.63,-12.964,-13.305,-13.651,-14.003,-14.361,-14.725,-15.094,-15.469,-15.85,-16.235,-16.626,-17.023,-17.424,-17.83,-18.242,-18.658,-19.078,-19.504,-19.934,-20.368,-20.807,-21.25,-21.697,-22.149,-22.604,-23.063,-23.526,-23.993,-24.464,-24.938,-25.415,-25.896,-26.38,-26.867,-27.357,-27.851,-28.347,-28.846,-29.347,-29.852,-30.359,-30.868,-31.38,-31.893,-32.41,-32.928,-33.448,-33.97,-34.494,-35.019,-35.546,-36.075,-36.605,-37.137,-37.669,-38.203,-38.738,-39.274,-39.811,-40.348,-40.887,-41.425,-41.965,-42.505,-43.045,-43.585,-44.126,-44.667,-45.207,-45.748,-46.288,-46.828,-47.367,-47.907,-48.445,-48.983,-49.52,-50.056,-50.591,-51.126,-51.659,-52.191,-52.721,-53.25,-53.778,-54.304,-54.829,-55.351,-55.872,-56.391,-56.908,-57.422,-57.935,-58.445,-58.953,-59.458,-59.961,-60.46,-60.958,-61.452,-61.943,-62.431,-62.917,-63.399,-63.877,-64.352,-64.824,-65.292,-65.756,-66.217,-66.674,-67.126,-67.575,-68.02,-68.46,-68.896,-69.327,-69.755,-70.177,-70.595,-71.008,-71.416,-71.819,-72.217,-72.61,-72.997,-73.38,-73.756,-74.128,-74.493,-74.854,-75.208,-75.556,-75.898,-76.235,-76.565,-76.889,-77.206,-77.517,-77.822,-78.12,-78.411,-78.696,-78.973,-79.244,-79.507,-79.763,-80.012,-80.254,-80.488,-80.715,-80.934,-81.146,-81.349,-81.545,-81.732,-81.912,-82.083,-82.247,-82.401,-82.548,-82.686,-82.815,-82.935,-83.047,-83.15,-83.243,-83.328,-83.403,-83.469,-83.526,-83.574,-83.611,-83.64,-83.658,-83.666,-83.663,-83.65,-83.625,-83.589,-83.541,-83.481,-83.408,-83.323,-83.225,-83.114,-82.988,-82.849,-82.695,-82.526,-82.342,-82.142,-81.926,-81.694,-81.445,-81.179,-80.896,-80.596,-80.28,-79.948,-79.602,-79.24,-78.863,-78.473,-78.069,-77.651,-77.221,-76.779,-76.325,-75.861,-75.387,-74.905,-74.414,-73.917,-73.413,-72.904,-72.391,-71.873,-71.353,-70.83,-70.305,-69.779,-69.251,-68.723,-68.195,-67.667,-67.139,-66.613,-66.089,-65.567,-65.047,-64.53,-64.015,-63.503,-62.994,-62.488,-61.985,-61.486,-60.991,-60.499,-60.012,-59.528,-59.048,-58.573,-58.101,-57.634,-57.17,-56.711,-56.257,-55.806,-55.36,-54.919,-54.482,-54.052,-53.629,-53.213,-52.805,-52.406,-52.017,-51.639,-51.272,-50.916,-50.574,-50.242,-49.921,-49.608,-49.304,-49.007,-48.715,-48.428,-48.144,-47.863,-47.582
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
90,91.11,92.217,93.318,94.412,95.495,96.565,97.619,98.654,99.668,100.66,101.62,102.55,103.46,104.32,105.15,105.94,106.69,107.39,108.05,108.65,109.2,109.69,110.13,110.5,110.82,111.06,111.23,111.34,111.36,111.31,111.19,110.97,110.68,110.29,109.82,109.25,108.58,107.82,106.95,105.99,104.91,103.73,102.43,101.02,99.492,97.844,96.073,94.178,92.154,90,87.714,85.299,82.761,80.103,77.331,74.449,71.462,68.374,65.191,61.917,58.556,55.113,51.594,48.002,44.342,40.62,36.839,33.005,29.121,25.193,21.226,17.224,13.192,9.1336,5.0548,0.95979,-3.1467,-7.26,-11.375,-15.488,-19.594,-23.688,-27.765,-31.821,-35.85,-39.85,-43.814,-47.738,-51.617,-55.447,-59.222,-62.939,-66.593,-70.179,-73.692,-77.127,-80.48,-83.746,-86.921,-90,-92.979,-95.858,-98.639,-101.32,-103.91,-106.4,-108.8,-111.11,-113.32,-115.45,-117.49,-119.43,-121.3,-123.07,-124.77,-126.38,-127.91,-129.36,-130.73,-132.02,-133.23,-134.37,-135.44,-136.43,-137.35,-138.2,-138.98,-139.7,-140.34,-140.92,-141.43,-141.89,-142.28,-142.6,-142.87,-143.08,-143.23,-143.33,-143.37,-143.36,-143.3,-143.18,-143.01,-142.8,-142.53,-142.23,-141.87,-141.47,-141.03,-140.55,-140.02,-139.46,-138.86,-138.22,-137.55,-136.84,-136.1,-135.33,-134.52,-133.69,-132.83,-131.94,-131.03,-130.09,-129.12,-128.14,-127.13,-126.11,-125.06,-124,-122.92,-121.83,-120.72,-119.6,-118.47,-117.33,-116.18,-115.02,-113.85,-112.68,-111.51,-110.33,-109.15,-107.97,-106.79,-105.61,-104.44,-103.27,-102.1,-100.95,-99.796,-98.655,-97.524,-96.405,-95.299,-94.206,-93.129,-92.068,-91.025,-90,-88.995,-88.01,-87.045,-86.099,-85.173,-84.266,-83.378,-82.509,-81.659,-80.827,-80.014,-79.219,-78.443,-77.685,-76.944,-76.221,-75.516,-74.829,-74.159,-73.506,-72.87,-72.25,-71.648,-71.062,-70.493,-69.94,-69.403,-68.882,-68.377,-67.888,-67.414,-66.956,-66.513,-66.085,-65.672,-65.273,-64.89,-64.521,-64.166,-63.826,-63.5,-63.187,-62.889,-62.604,-62.332,-62.074,-61.83,-61.598,-61.379,-61.173,-60.979,-60.798,-60.629,-60.473,-60.328,-60.195,-60.074,-59.965,-59.867,-59.78,-59.705,-59.64,-59.586,-59.543,-59.511,-59.488,-59.477,-59.475,-59.483,-59.501,-59.528,-59.566,-59.612,-59.668,-59.733,-59.806,-59.889,-59.98,-60.079,-60.187,-60.303,-60.427,-60.559,-60.699,-60.846,-61.001,-61.163,-61.332,-61.508,-61.691,-61.881,-62.077,-62.28,-62.489,-62.704,-62.925,-63.152,-63.384,-63.622,-63.866,-64.115,-64.368,-64.627,-64.89,-65.158,-65.431,-65.708,-65.989,-66.274,-66.563,-66.856,-67.152,-67.452,-67.755,-68.062,-68.371,-68.683,-68.998,-69.315,-69.635,-69.958,-70.282,-70.608,-70.936,-71.266,-71.597,-71.93,-72.264,-72.599,-72.935,-73.272,-73.609,-73.947,-74.286,-74.624,-74.963,-75.301,-75.639,-75.977,-76.315,-76.651,-76.987,-77.322,-77.656,-77.988,-78.319,-78.649,-78.976,-79.302,-79.626,-79.948,-80.267,-80.584,-80.899,-81.21,-81.519,-81.825,-82.127,-82.427,-82.722,-83.014,-83.303,-83.587,-83.867,-84.144,-84.415,-84.682,-84.945,-85.203,-85.456,-85.703,-85.946,-86.183,-86.414,-86.64,-86.86,-87.074,-87.281,-87.483,-87.678,-87.866,-88.048,-88.223,-88.391,-88.551,-88.705,-88.851,-88.989,-89.119,-89.242,-89.356,-89.463,-89.561,-89.65,-89.731,-89.803,-89.866,-89.92,-89.965,-90,-90.026,-90.044,-90.054,-90.058,-90.056,-90.051,-90.043,-90.032,-90.021,-90.01,-90.001,-89.994,-89.989,-89.986,-89.985,-89.985,-89.986,-89.988,-89.991,-89.994,-89.997,-89.999,-90.002,-90.003,-90.004,-90.004,-90.004,-90.004,-90.003,-90.002,-90.002,-90.001,-90,-90,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-89.999,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
